job_id,job_title,company,location,employment_type,experience_level,salary_min,salary_max,required_skills,preferred_skills,job_description,education,source
JOB-0015,Data Analyst,Northstar Labs 5,Remote,Hybrid,Mid,85000,110000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0016,NLP Engineer,Northstar Labs 6,Hyderabad,Full-time,Mid,90000,115000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0017,Computer Vision Engineer,Northstar Labs 7,Bengaluru,Contract,Mid,95000,120000,"Python, Computer Vision, Deep Learning, PyTorch","OpenCV, TensorFlow, Docker",Build and optimize vision models for image and video applications. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0018,Python Developer,Northstar Labs 8,Pune,Hybrid,Mid,100000,125000,"Python, Git, SQL, REST APIs","FastAPI, Docker, AWS",Implement maintainable backend services and integrations in Python. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0019,Software Engineer,Northstar Labs 9,Mumbai,Full-time,Mid,105000,130000,"Python, Java, Git, SQL","Docker, AWS, Kubernetes","Design, test, and ship scalable software features with a collaborative team. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0020,Backend Developer,Northstar Labs 10,Remote,Contract,Mid,110000,135000,"Python, SQL, REST APIs, Git","FastAPI, PostgreSQL, Docker",Build secure APIs and data services for customer-facing products. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0021,MLOps Engineer,Northstar Labs 1,Hyderabad,Hybrid,Mid,65000,90000,"Python, Docker, Kubernetes, MLflow","AWS, Terraform, CI/CD","Automate model delivery, monitoring, and reproducible machine learning workflows. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0022,Data Engineer,Northstar Labs 2,Bengaluru,Full-time,Mid,70000,95000,"Python, SQL, Apache Spark, Git","AWS, Airflow, Docker",Build dependable batch and streaming pipelines for analytics and ML teams. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0023,AI Engineer,Northstar Labs 3,Pune,Contract,Senior,90000,115000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0024,Machine Learning Engineer,Northstar Labs 4,Mumbai,Hybrid,Senior,95000,120000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0025,Data Scientist,Northstar Labs 5,Remote,Full-time,Senior,100000,125000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0026,Data Analyst,Northstar Labs 6,Hyderabad,Contract,Senior,105000,130000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0027,NLP Engineer,Northstar Labs 7,Bengaluru,Hybrid,Senior,110000,135000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0028,Computer Vision Engineer,Northstar Labs 8,Pune,Full-time,Senior,115000,140000,"Python, Computer Vision, Deep Learning, PyTorch","OpenCV, TensorFlow, Docker",Build and optimize vision models for image and video applications. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0029,Python Developer,Northstar Labs 9,Mumbai,Contract,Senior,120000,145000,"Python, Git, SQL, REST APIs","FastAPI, Docker, AWS",Implement maintainable backend services and integrations in Python. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0030,Software Engineer,Northstar Labs 10,Remote,Hybrid,Senior,125000,150000,"Python, Java, Git, SQL","Docker, AWS, Kubernetes","Design, test, and ship scalable software features with a collaborative team. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0031,Backend Developer,Northstar Labs 1,Hyderabad,Full-time,Senior,80000,105000,"Python, SQL, REST APIs, Git","FastAPI, PostgreSQL, Docker",Build secure APIs and data services for customer-facing products. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0032,MLOps Engineer,Northstar Labs 2,Bengaluru,Contract,Senior,85000,110000,"Python, Docker, Kubernetes, MLflow","AWS, Terraform, CI/CD","Automate model delivery, monitoring, and reproducible machine learning workflows. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0033,Data Engineer,Northstar Labs 3,Pune,Hybrid,Senior,90000,115000,"Python, SQL, Apache Spark, Git","AWS, Airflow, Docker",Build dependable batch and streaming pipelines for analytics and ML teams. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0034,AI Engineer,Northstar Labs 4,Mumbai,Full-time,Entry,65000,90000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0035,Machine Learning Engineer,Northstar Labs 5,Remote,Contract,Entry,70000,95000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0036,Data Scientist,Northstar Labs 6,Hyderabad,Hybrid,Entry,75000,100000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0037,Data Analyst,Northstar Labs 7,Bengaluru,Full-time,Entry,80000,105000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0038,NLP Engineer,Northstar Labs 8,Pune,Contract,Entry,85000,110000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0039,Computer Vision Engineer,Northstar Labs 9,Mumbai,Hybrid,Entry,90000,115000,"Python, Computer Vision, Deep Learning, PyTorch","OpenCV, TensorFlow, Docker",Build and optimize vision models for image and video applications. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0040,Python Developer,Northstar Labs 10,Remote,Full-time,Entry,95000,120000,"Python, Git, SQL, REST APIs","FastAPI, Docker, AWS",Implement maintainable backend services and integrations in Python. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0041,Software Engineer,Northstar Labs 1,Hyderabad,Contract,Entry,50000,75000,"Python, Java, Git, SQL","Docker, AWS, Kubernetes","Design, test, and ship scalable software features with a collaborative team. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0042,Backend Developer,Northstar Labs 2,Bengaluru,Hybrid,Entry,55000,80000,"Python, SQL, REST APIs, Git","FastAPI, PostgreSQL, Docker",Build secure APIs and data services for customer-facing products. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0043,MLOps Engineer,Northstar Labs 3,Pune,Full-time,Entry,60000,85000,"Python, Docker, Kubernetes, MLflow","AWS, Terraform, CI/CD","Automate model delivery, monitoring, and reproducible machine learning workflows. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0044,Data Engineer,Northstar Labs 4,Mumbai,Contract,Entry,65000,90000,"Python, SQL, Apache Spark, Git","AWS, Airflow, Docker",Build dependable batch and streaming pipelines for analytics and ML teams. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0045,AI Engineer,Northstar Labs 5,Remote,Hybrid,Mid,85000,110000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0046,Machine Learning Engineer,Northstar Labs 6,Hyderabad,Full-time,Mid,90000,115000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0047,Data Scientist,Northstar Labs 7,Bengaluru,Contract,Mid,95000,120000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0048,Data Analyst,Northstar Labs 8,Pune,Hybrid,Mid,100000,125000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0049,NLP Engineer,Northstar Labs 9,Mumbai,Full-time,Mid,105000,130000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0050,Computer Vision Engineer,Northstar Labs 10,Remote,Contract,Mid,110000,135000,"Python, Computer Vision, Deep Learning, PyTorch","OpenCV, TensorFlow, Docker",Build and optimize vision models for image and video applications. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0051,Python Developer,Northstar Labs 1,Hyderabad,Hybrid,Mid,65000,90000,"Python, Git, SQL, REST APIs","FastAPI, Docker, AWS",Implement maintainable backend services and integrations in Python. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0052,Software Engineer,Northstar Labs 2,Bengaluru,Full-time,Mid,70000,95000,"Python, Java, Git, SQL","Docker, AWS, Kubernetes","Design, test, and ship scalable software features with a collaborative team. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0053,Backend Developer,Northstar Labs 3,Pune,Contract,Mid,75000,100000,"Python, SQL, REST APIs, Git","FastAPI, PostgreSQL, Docker",Build secure APIs and data services for customer-facing products. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0054,MLOps Engineer,Northstar Labs 4,Mumbai,Hybrid,Mid,80000,105000,"Python, Docker, Kubernetes, MLflow","AWS, Terraform, CI/CD","Automate model delivery, monitoring, and reproducible machine learning workflows. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0055,Data Engineer,Northstar Labs 5,Remote,Full-time,Mid,85000,110000,"Python, SQL, Apache Spark, Git","AWS, Airflow, Docker",Build dependable batch and streaming pipelines for analytics and ML teams. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0056,AI Engineer,Northstar Labs 6,Hyderabad,Contract,Senior,105000,130000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0057,Machine Learning Engineer,Northstar Labs 7,Bengaluru,Hybrid,Senior,110000,135000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0058,Data Scientist,Northstar Labs 8,Pune,Full-time,Senior,115000,140000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0059,Data Analyst,Northstar Labs 9,Mumbai,Contract,Senior,120000,145000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0060,NLP Engineer,Northstar Labs 10,Remote,Hybrid,Senior,125000,150000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0061,Computer Vision Engineer,Northstar Labs 1,Hyderabad,Full-time,Senior,80000,105000,"Python, Computer Vision, Deep Learning, PyTorch","OpenCV, TensorFlow, Docker",Build and optimize vision models for image and video applications. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0062,Python Developer,Northstar Labs 2,Bengaluru,Contract,Senior,85000,110000,"Python, Git, SQL, REST APIs","FastAPI, Docker, AWS",Implement maintainable backend services and integrations in Python. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0063,Software Engineer,Northstar Labs 3,Pune,Hybrid,Senior,90000,115000,"Python, Java, Git, SQL","Docker, AWS, Kubernetes","Design, test, and ship scalable software features with a collaborative team. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0064,Backend Developer,Northstar Labs 4,Mumbai,Full-time,Senior,95000,120000,"Python, SQL, REST APIs, Git","FastAPI, PostgreSQL, Docker",Build secure APIs and data services for customer-facing products. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0065,MLOps Engineer,Northstar Labs 5,Remote,Contract,Senior,100000,125000,"Python, Docker, Kubernetes, MLflow","AWS, Terraform, CI/CD","Automate model delivery, monitoring, and reproducible machine learning workflows. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0066,Data Engineer,Northstar Labs 6,Hyderabad,Hybrid,Senior,105000,130000,"Python, SQL, Apache Spark, Git","AWS, Airflow, Docker",Build dependable batch and streaming pipelines for analytics and ML teams. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0067,AI Engineer,Northstar Labs 7,Bengaluru,Full-time,Entry,80000,105000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0068,Machine Learning Engineer,Northstar Labs 8,Pune,Contract,Entry,85000,110000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0069,Data Scientist,Northstar Labs 9,Mumbai,Hybrid,Entry,90000,115000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0070,Data Analyst,Northstar Labs 10,Remote,Full-time,Entry,95000,120000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0071,NLP Engineer,Northstar Labs 1,Hyderabad,Contract,Entry,50000,75000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0072,Computer Vision Engineer,Northstar Labs 2,Bengaluru,Hybrid,Entry,55000,80000,"Python, Computer Vision, Deep Learning, PyTorch","OpenCV, TensorFlow, Docker",Build and optimize vision models for image and video applications. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0073,Python Developer,Northstar Labs 3,Pune,Full-time,Entry,60000,85000,"Python, Git, SQL, REST APIs","FastAPI, Docker, AWS",Implement maintainable backend services and integrations in Python. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0074,Software Engineer,Northstar Labs 4,Mumbai,Contract,Entry,65000,90000,"Python, Java, Git, SQL","Docker, AWS, Kubernetes","Design, test, and ship scalable software features with a collaborative team. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0075,Backend Developer,Northstar Labs 5,Remote,Hybrid,Entry,70000,95000,"Python, SQL, REST APIs, Git","FastAPI, PostgreSQL, Docker",Build secure APIs and data services for customer-facing products. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0076,MLOps Engineer,Northstar Labs 6,Hyderabad,Full-time,Entry,75000,100000,"Python, Docker, Kubernetes, MLflow","AWS, Terraform, CI/CD","Automate model delivery, monitoring, and reproducible machine learning workflows. This entry role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0077,Data Engineer,Northstar Labs 7,Bengaluru,Contract,Entry,80000,105000,"Python, SQL, Apache Spark, Git","AWS, Airflow, Docker",Build dependable batch and streaming pipelines for analytics and ML teams. This entry role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0078,AI Engineer,Northstar Labs 8,Pune,Hybrid,Mid,100000,125000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0079,Machine Learning Engineer,Northstar Labs 9,Mumbai,Full-time,Mid,105000,130000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0080,Data Scientist,Northstar Labs 10,Remote,Contract,Mid,110000,135000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0081,Data Analyst,Northstar Labs 1,Hyderabad,Hybrid,Mid,65000,90000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0082,NLP Engineer,Northstar Labs 2,Bengaluru,Full-time,Mid,70000,95000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0083,Computer Vision Engineer,Northstar Labs 3,Pune,Contract,Mid,75000,100000,"Python, Computer Vision, Deep Learning, PyTorch","OpenCV, TensorFlow, Docker",Build and optimize vision models for image and video applications. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0084,Python Developer,Northstar Labs 4,Mumbai,Hybrid,Mid,80000,105000,"Python, Git, SQL, REST APIs","FastAPI, Docker, AWS",Implement maintainable backend services and integrations in Python. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0085,Software Engineer,Northstar Labs 5,Remote,Full-time,Mid,85000,110000,"Python, Java, Git, SQL","Docker, AWS, Kubernetes","Design, test, and ship scalable software features with a collaborative team. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0086,Backend Developer,Northstar Labs 6,Hyderabad,Contract,Mid,90000,115000,"Python, SQL, REST APIs, Git","FastAPI, PostgreSQL, Docker",Build secure APIs and data services for customer-facing products. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0087,MLOps Engineer,Northstar Labs 7,Bengaluru,Hybrid,Mid,95000,120000,"Python, Docker, Kubernetes, MLflow","AWS, Terraform, CI/CD","Automate model delivery, monitoring, and reproducible machine learning workflows. This mid role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0088,Data Engineer,Northstar Labs 8,Pune,Full-time,Mid,100000,125000,"Python, SQL, Apache Spark, Git","AWS, Airflow, Docker",Build dependable batch and streaming pipelines for analytics and ML teams. This mid role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0089,AI Engineer,Northstar Labs 9,Mumbai,Contract,Senior,120000,145000,"Python, Machine Learning, Deep Learning, NLP","PyTorch, Docker",Build applied AI services and evaluate models for production use. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0090,Machine Learning Engineer,Northstar Labs 10,Remote,Hybrid,Senior,125000,150000,"Python, Machine Learning, SQL, Scikit-learn","PyTorch, MLflow, Docker",Develop training pipelines and deploy reliable machine learning systems. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0091,Data Scientist,Northstar Labs 1,Hyderabad,Full-time,Senior,80000,105000,"Python, SQL, Statistics, Pandas","Scikit-learn, Tableau, Machine Learning",Analyze product data and build predictive models for business decisions. This senior role partners with engineering and product stakeholders.,Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0092,Data Analyst,Northstar Labs 2,Bengaluru,Contract,Senior,85000,110000,"SQL, Excel, Power BI, Statistics","Python, Tableau, Pandas","Turn operational data into dashboards, insights, and measurable recommendations. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
JOB-0093,NLP Engineer,Northstar Labs 3,Pune,Hybrid,Senior,90000,115000,"Python, NLP, Deep Learning, PyTorch","Transformers, RAG, Docker","Create language understanding systems for search, classification, and generation. This senior role partners with engineering and product stakeholders.",Bachelor's degree in Computer Science or a related field,synthetic-development-dataset
